method,seed,latent_dim,beta,n_clusters,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,n_samples_silhouette
vae_kmeans,42,8,0.1,13,0.08995158225297928,606.7407427821108,1.8749865658954086,0.031376853894316166,0.11839360942296351,0.587041295870413,3000
vae_gmm,42,8,0.1,13,-0.0062704067677259445,337.8139900301294,3.542786218601451,0.01959090195087572,0.0957272528135329,0.5563443655634437,3000
vae_kmeans,42,8,0.1,14,0.0910237729549408,585.1075309517541,1.8469878968625275,0.033693673013448715,0.1250288748127144,0.5895410458954105,3000
vae_gmm,42,8,0.1,14,0.01117637287825346,356.0100856321554,3.2194586112145367,0.017254278562326888,0.0968289816691442,0.5614438556144385,3000
vae_kmeans,42,8,0.1,15,0.08853592723608017,565.0007687872693,1.845944277404484,0.022757104207778753,0.11335755439376961,0.5814418558144185,3000
vae_gmm,42,8,0.1,15,0.0068663363344967365,315.99305585290006,3.1722391053827863,0.01885122712190809,0.09106439681107592,0.5477452254774523,3000
vae_kmeans,42,8,0.5,2,0.11502792686223984,1278.595606202834,2.7099295125624447,0.00011671448487554852,0.001662963544403031,0.531946805319468,3000
vae_gmm,42,8,0.5,2,0.12861745059490204,1205.4500224103135,2.555533974669825,-0.00140079506677444,0.0024789337311166377,0.531946805319468,3000
vae_kmeans,42,8,0.5,3,0.12284531444311142,1173.7887646487952,2.4009741258403765,-0.00012201432093532648,0.0028450265397743793,0.531946805319468,3000
vae_gmm,42,8,0.5,3,0.12223663181066513,865.7002279935422,2.5233488272748694,0.1113607756787246,0.17536752285263638,0.5505449455054494,3000
vae_kmeans,42,8,0.5,4,0.11645989865064621,1071.5722990211411,2.2131462374869217,0.0014372128606099084,0.003431032861096153,0.531946805319468,3000
vae_gmm,42,8,0.5,4,0.06583128124475479,690.4864098469112,4.2448042352129844,0.02662620377014652,0.07109770989890311,0.531946805319468,3000
vae_kmeans,42,8,0.5,5,0.11293311417102814,999.6327571272207,2.029020934591591,0.0875425164601977,0.1848833617102227,0.5780421957804219,3000
vae_gmm,42,8,0.5,5,0.06493107229471207,579.5868671605848,4.183562499989,0.06574138492802473,0.1661490936178494,0.5700429957004299,3000
vae_kmeans,42,8,0.5,6,0.11993434280157089,968.7718368215817,1.9590869279668108,0.07996399924343185,0.17841104933976684,0.6076392360763924,3000
vae_gmm,42,8,0.5,6,0.05085204169154167,574.6998280634836,4.110337750940275,0.061713999651701185,0.15591258123307047,0.5614438556144385,3000
vae_kmeans,42,8,0.5,7,0.11722846329212189,927.7678948722817,1.8541431564683806,0.06348253081334254,0.16476457754601492,0.6025397460253975,3000
vae_gmm,42,8,0.5,7,0.06013399362564087,565.1187185864311,3.1891248884769334,0.06537271181092356,0.15349936903818573,0.5724427557244276,3000
vae_kmeans,42,8,0.5,8,0.1200125440955162,894.230568949518,1.7744737562794954,0.05439176056827351,0.15725412506877418,0.6005399460053995,3000
vae_gmm,42,8,0.5,8,0.07537773251533508,627.783215499305,2.0908644271442705,0.06025347702790249,0.16498706425776347,0.5787421257874212,3000
vae_kmeans,42,8,0.5,9,0.11575930565595627,856.0301046763192,1.8160951334249669,0.04655344379661901,0.1490204727392842,0.5980401959804019,3000
vae_gmm,42,8,0.5,9,0.0835285633802414,572.2267563581869,1.9438751477677552,0.05243661321053221,0.1603972692352643,0.5675432456754325,3000
vae_kmeans,42,8,0.5,10,0.11919543147087097,819.141610675709,1.838363779889118,0.041497891903626585,0.14173434195687123,0.5952404759524048,3000
vae_gmm,42,8,0.5,10,0.06533049792051315,544.5460256560073,2.6903093493574044,0.03352899836512131,0.13629640321444375,0.5647435256474352,3000
vae_kmeans,42,8,0.5,11,0.12178027629852295,803.5349484176421,1.7471812692581346,0.03813871933750269,0.1349128127699599,0.5931406859314069,3000
vae_gmm,42,8,0.5,11,0.03766164183616638,445.727482543241,3.0788983873615536,0.03980600379822042,0.1369014090703948,0.5748425157484252,3000
vae_kmeans,42,8,0.5,12,0.12004439532756805,772.0300006479686,1.731119305487898,0.033829799352006,0.12965004682929585,0.5816418358164184,3000
vae_gmm,42,8,0.5,12,0.05242583155632019,473.3939747378321,3.033983185843482,0.02405680186801005,0.12087122388316783,0.5538446155384461,3000
vae_kmeans,42,8,0.5,13,0.12576551735401154,748.9677736086696,1.6935431590138157,0.03170052676378287,0.12499719951683405,0.5863413658634137,3000
vae_gmm,42,8,0.5,13,0.03390725329518318,447.3016256652379,2.634919292114145,0.03162666686053109,0.129527583653173,0.567943205679432,3000
vae_kmeans,42,8,0.5,14,0.12382769584655762,734.715514220834,1.680789827044882,0.03012957735940654,0.12199106168407993,0.5828417158284172,3000
vae_gmm,42,8,0.5,14,0.03833242878317833,438.7204133279222,2.656960555941289,0.03552418850882286,0.14173368541384102,0.5743425657434257,3000
vae_kmeans,42,8,0.5,15,0.12343953549861908,714.7902917753129,1.6781169344183666,0.027832114395086024,0.12155991719193325,0.5804419558044196,3000
vae_gmm,42,8,0.5,15,0.04309527203440666,413.083523710767,2.6663471843586475,0.02965981127514635,0.12603068566031636,0.5547445255474452,3000
vae_kmeans,42,8,1.0,2,0.18809716403484344,2263.2698821263534,1.9623458235536388,0.0004019107975462423,0.002021853833118777,0.531946805319468,3000
vae_gmm,42,8,1.0,2,0.12689225375652313,855.7214324457241,2.8699936753288444,0.23937693212729028,0.20594175749695182,0.5481451854814519,3000
vae_kmeans,42,8,1.0,3,0.18288345634937286,2100.3527949457466,1.642269865782776,0.0021610275317750015,0.0019774091582632036,0.531946805319468,3000
vae_gmm,42,8,1.0,3,0.16168618202209473,1529.4933720443016,2.1083158185427098,0.08180316111329038,0.13378042818985963,0.531946805319468,3000
vae_kmeans,42,8,1.0,4,0.18898387253284454,2048.371864174315,1.5390417477098628,0.011229822901496898,0.016377280863856404,0.531946805319468,3000
vae_gmm,42,8,1.0,4,0.11443565040826797,1193.0161740482984,2.279125110510698,0.0800954442366889,0.15962011031641435,0.531946805319468,3000
vae_kmeans,42,8,1.0,5,0.20387060940265656,2010.594965030995,1.3764782398973578,0.057185403627982315,0.1443582519144451,0.5548445155484452,3000
vae_gmm,42,8,1.0,5,0.12003616988658905,1252.725175254654,1.8943083015411937,0.13824451887934652,0.20153272761491658,0.6052394760523948,3000
vae_kmeans,42,8,1.0,6,0.2058163285255432,1992.101768894266,1.3423593625583414,0.06993924864724231,0.14999588558968321,0.5995400459954005,3000
